id,sku,field,existing_value,archive_value,final_value,reason
product-055582,055582,period,,,,both-empty
product-055582,055582,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-duf0729,DUF0729,title,Pair of Edward Wormley for Dunbar American Mid-Century Square Wooden Two-Tier End / Side Tables,Pair of Edward Wormley for Dunbar American Mid-Century Square Wooden Two-Tier End / Side Tables,Pair of Edward Wormley for Dunbar American Mid-Century Square Wooden Two-Tier End / Side Tables,unchanged-same
product-duf0729,DUF0729,description,PAIR of American Mid-Century square wooden end / side tables with a lower square stretcher shelf connecting four square legs. (EDWARD WORMLEY FOR DUNBAR FURNITURE COMPANY)(PRICED AS PAIR).,PAIR of American Mid-Century square wooden end / side tables with a lower square stretcher shelf connecting four square legs. (EDWARD WORMLEY FOR DUNBAR FURNITURE COMPANY)(PRICED AS PAIR).,PAIR of American Mid-Century square wooden end / side tables with a lower square stretcher shelf connecting four square legs. (EDWARD WORMLEY FOR DUNBAR FURNITURE COMPANY)(PRICED AS PAIR).,unchanged-same
product-duf0729,DUF0729,dimensions,,,,both-empty
product-duf0729,DUF0729,price,"$15,500","$15,500","$15,500",unchanged-same
product-duf0729,DUF0729,material,,Wood,Wood,filled-from-archive
product-duf0729,DUF0729,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-duf0729,DUF0729,period,,,,both-empty
product-duf0729,DUF0729,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-duf0064,DUF0064,title,Roger Sprunger for Dunbar American Mid-Century Bronze and Smoked Glass Coffee / Cocktail Table,Roger Sprunger for Dunbar American Mid-Century Bronze and Smoked Glass Coffee / Cocktail Table,Roger Sprunger for Dunbar American Mid-Century Bronze and Smoked Glass Coffee / Cocktail Table,unchanged-same
product-duf0064,DUF0064,description,"American Mid-Century (1960s) rectangular cocktail / coffee table with an inset smoked glass top supported by a bronze cross-shaped frame with a stretcher base, resting on rosewood feet. (ROGER SPRUNGER FOR DUNBAR).","American Mid-Century (1960s) rectangular cocktail / coffee table with an inset smoked glass top supported by a bronze cross-shaped frame with a stretcher base, resting on rosewood feet. (ROGER SPRUNGER FOR DUNBAR).","American Mid-Century (1960s) rectangular cocktail / coffee table with an inset smoked glass top supported by a bronze cross-shaped frame with a stretcher base, resting on rosewood feet. (ROGER SPRUNGER FOR DUNBAR).",unchanged-same
product-duf0064,DUF0064,dimensions,,,,both-empty
product-duf0064,DUF0064,price,"$12,500","$12,500","$12,500",unchanged-same
product-duf0064,DUF0064,material,,"Bronze, glass, metal, rosewood, wood","Bronze, glass, metal, rosewood, wood",filled-from-archive
product-duf0064,DUF0064,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-duf0064,DUF0064,period,,,,both-empty
product-duf0064,DUF0064,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-063540,063540,title,Contemporary American Brown Lacquered Wooden Desk,Contemporary American Brown Lacquered Wooden Desk,Contemporary American Brown Lacquered Wooden Desk,unchanged-same
product-063540,063540,description,Contemporary American lacquered desk with brass trimmed edge and 4 drawers supported on 2 rectangular pedestals centering a vanity panel.  (CAN BE CUSTOMIZED IN SIZE AND COLOR).,Contemporary American lacquered desk with brass trimmed edge and 4 drawers supported on 2 rectangular pedestals centering a vanity panel.  (CAN BE CUSTOMIZED IN SIZE AND COLOR).,Contemporary American lacquered desk with brass trimmed edge and 4 drawers supported on 2 rectangular pedestals centering a vanity panel.  (CAN BE CUSTOMIZED IN SIZE AND COLOR).,unchanged-same
product-063540,063540,dimensions,,,,both-empty
product-063540,063540,price,"$22,000","$22,000","$22,000",unchanged-same
product-063540,063540,material,,"Arch, brass, metal, veneer, wood","Arch, brass, metal, veneer, wood",filled-from-archive
product-063540,063540,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-063540,063540,period,,,,both-empty
product-063540,063540,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8736,NWL8736,title,Chapter Studio Contemporary Middle Eastern Marble and Travertine Console,Chapter Studio Contemporary Middle Eastern Marble and Travertine Console,Chapter Studio Contemporary Middle Eastern Marble and Travertine Console,unchanged-same
product-nwl8736,NWL8736,description,"Contemporary console table featuring a contrasting brown marble oval peg stand supporting a travertine L-shaped body (CHAPTER STUDIO)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","Contemporary console table featuring a contrasting brown marble oval peg stand supporting a travertine L-shaped body (CHAPTER STUDIO)

This piece is represented by PHILIA and offered in partnership with NEWEL..","Contemporary console table featuring a contrasting brown marble oval peg stand supporting a travertine L-shaped body (CHAPTER STUDIO)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8736,NWL8736,dimensions,,,,both-empty
product-nwl8736,NWL8736,price,"$22,000","$22,000","$22,000",unchanged-same
product-nwl8736,NWL8736,material,,Travertine,Travertine,filled-from-archive
product-nwl8736,NWL8736,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8736,NWL8736,period,,,,both-empty
product-nwl8736,NWL8736,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl7595,NWL7595,title,Gary DiPasquale Contemporary Wave Form Clay and White Glazed Table Lamps,Gary DiPasquale Contemporary Wave Form Clay and White Glazed Table Lamps,Gary DiPasquale Contemporary Wave Form Clay and White Glazed Table Lamps,unchanged-same
product-nwl7595,NWL7595,description,"PAIR of contemporary clay table lamps with a wavy tier form and white glaze with piping along sides (Priced as pair, ships without shade)(GARY DIPASQUALE) (PRICED AS PAIR).","PAIR of contemporary clay table lamps with a wavy tier form and white glaze with piping along sides (Priced as pair, ships without shade)(GARY DIPASQUALE) (PRICED AS PAIR).","PAIR of contemporary clay table lamps with a wavy tier form and white glaze with piping along sides (Priced as pair, ships without shade)(GARY DIPASQUALE) (PRICED AS PAIR).",unchanged-same
product-nwl7595,NWL7595,dimensions,,,,both-empty
product-nwl7595,NWL7595,price,"$9,400","$9,400","$9,400",unchanged-same
product-nwl7595,NWL7595,material,,,,both-empty
product-nwl7595,NWL7595,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl7595,NWL7595,period,,,,both-empty
product-nwl7595,NWL7595,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-028069,028069,title,English Regency console with a carved bird & floral base over a shaped top,English Regency console with a carved bird & floral base over a shaped top,English Regency console with a carved bird & floral base over a shaped top,unchanged-same
product-028069,028069,description,English Regency console with a carved bird & floral base over a shaped top.,English Regency console with a carved bird & floral base over a shaped top.,English Regency console with a carved bird & floral base over a shaped top.,unchanged-same
product-028069,028069,dimensions,,,,both-empty
product-028069,028069,price,"$8,750","$8,750","$8,750",unchanged-same
product-028069,028069,material,,Walnut,Walnut,filled-from-archive
product-028069,028069,style,English,English,English,unchanged-same
product-028069,028069,period,,,,both-empty
product-028069,028069,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8761,NWL8761,title,Dessislava Madanska Continental Contemporary Brass Mirror Candle Holder,Dessislava Madanska Continental Contemporary Brass Mirror Candle Holder,Dessislava Madanska Continental Contemporary Brass Mirror Candle Holder,unchanged-same
product-nwl8761,NWL8761,description,"Contemporary candle holder with a burned plum wood base featuring a brass candlestick juxtaposed with a polished brass mirror (DESSISLAVA MADANSKA)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","Contemporary candle holder with a burned plum wood base featuring a brass candlestick juxtaposed with a polished brass mirror (DESSISLAVA MADANSKA)

This piece is represented by PHILIA and offered in partnership with NEWEL..","Contemporary candle holder with a burned plum wood base featuring a brass candlestick juxtaposed with a polished brass mirror (DESSISLAVA MADANSKA)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8761,NWL8761,dimensions,,,,both-empty
product-nwl8761,NWL8761,price,"$4,200","$4,200","$4,200",unchanged-same
product-nwl8761,NWL8761,material,,Brass,Brass,filled-from-archive
product-nwl8761,NWL8761,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8761,NWL8761,period,,,,both-empty
product-nwl8761,NWL8761,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8737,NWL8737,title,"Philip Jividen American Contemporary Brass ""Slit"" Mirror","Philip Jividen American Contemporary Brass ""Slit"" Mirror","Philip Jividen American Contemporary Brass ""Slit"" Mirror",unchanged-same
product-nwl8737,NWL8737,description,"Contemporary mirror with a polished brass oval body with subtly distressed edges and a narrow slit in the middle (PHILIP JIVIDEN)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","Contemporary mirror with a polished brass oval body with subtly distressed edges and a narrow slit in the middle (PHILIP JIVIDEN)

This piece is represented by PHILIA and offered in partnership with NEWEL..","Contemporary mirror with a polished brass oval body with subtly distressed edges and a narrow slit in the middle (PHILIP JIVIDEN)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8737,NWL8737,dimensions,,,,both-empty
product-nwl8737,NWL8737,price,"$15,800","$15,800","$15,800",unchanged-same
product-nwl8737,NWL8737,material,,Brass,Brass,filled-from-archive
product-nwl8737,NWL8737,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8737,NWL8737,period,,,,both-empty
product-nwl8737,NWL8737,availability,,,,both-empty
product-060478,060478,title,Roger Capron French Mid-Century Ceramic and Oak Sunburst Coffee Table,Roger Capron French Mid-Century Ceramic and Oak Sunburst Coffee Table,Roger Capron French Mid-Century Ceramic and Oak Sunburst Coffee Table,unchanged-same
product-060478,060478,description,French Mid-Century (1960s) round coffee table with a stained four leg oak frame and stretcher supporting a beige ceramic sunburst design tile top with leaf decoration. (signed: ROGER CAPRON).,French Mid-Century (1960s) round coffee table with a stained four leg oak frame and stretcher supporting a beige ceramic sunburst design tile top with leaf decoration. (signed: ROGER CAPRON).,French Mid-Century (1960s) round coffee table with a stained four leg oak frame and stretcher supporting a beige ceramic sunburst design tile top with leaf decoration. (signed: ROGER CAPRON).,unchanged-same
product-060478,060478,dimensions,,,,both-empty
product-060478,060478,price,"$7,800","$7,800","$7,800",unchanged-same
product-060478,060478,material,,"Ceramic, oak","Ceramic, oak",filled-from-archive
product-060478,060478,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-060478,060478,period,,,,both-empty
product-060478,060478,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8717,NWL8717,title,"Atelier Barda Canadian Contemporary Stainless Steel ""Chabanel II"" Chair","Atelier Barda Canadian Contemporary Stainless Steel ""Chabanel II"" Chair","Atelier Barda Canadian Contemporary Stainless Steel ""Chabanel II"" Chair",unchanged-same
product-nwl8717,NWL8717,description,"Contemporary stainless steel Chabanel chair with a flat rectangular sheet backrest and seating, ending on cylindrical four legs (ATELIER BARDA)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","Contemporary stainless steel Chabanel chair with a flat rectangular sheet backrest and seating, ending on cylindrical four legs (ATELIER BARDA)

This piece is represented by PHILIA and offered in partnership with NEWEL..","Contemporary stainless steel Chabanel chair with a flat rectangular sheet backrest and seating, ending on cylindrical four legs (ATELIER BARDA)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8717,NWL8717,dimensions,,,,both-empty
product-nwl8717,NWL8717,price,"$18,000","$18,000","$18,000",unchanged-same
product-nwl8717,NWL8717,material,,Steel,Steel,filled-from-archive
product-nwl8717,NWL8717,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8717,NWL8717,period,,,,both-empty
product-nwl8717,NWL8717,availability,,,,both-empty
product-nwl8711,NWL8711,title,"Evan Fay American Contemporary Unique ""Lawless"" Bench","Evan Fay American Contemporary Unique ""Lawless"" Bench","Evan Fay American Contemporary Unique ""Lawless"" Bench",unchanged-same
product-nwl8711,NWL8711,description,"Handmade contemporary style split level \\""Lawless\\"" bench uniquely constructed in upholsered foam on a brass and steel base frame (EVAN FAY)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","Handmade contemporary style split level \\""Lawless\\"" bench uniquely constructed in upholsered foam on a brass and steel base frame (EVAN FAY)

This piece is represented by PHILIA and offered in partnership with NEWEL..","Handmade contemporary style split level \\""Lawless\\"" bench uniquely constructed in upholsered foam on a brass and steel base frame (EVAN FAY)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8711,NWL8711,dimensions,,,,both-empty
product-nwl8711,NWL8711,price,"$27,000","$27,000","$27,000",unchanged-same
product-nwl8711,NWL8711,material,,"Brass, steel, upholstered","Brass, steel, upholstered",filled-from-archive
product-nwl8711,NWL8711,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8711,NWL8711,period,,,,both-empty
product-nwl8711,NWL8711,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-059283,059283,title,Bauges French Mid-Century Metal and Murano Glass Bird Chandelier,Bauges French Mid-Century Metal and Murano Glass Bird Chandelier,Bauges French Mid-Century Metal and Murano Glass Bird Chandelier,unchanged-same
product-059283,059283,description,French Mid-Century (1940s) red and white painted metal 10 arm chandelier with Murano glass bird in center with canopy. (Attributed to BAGUES).,French Mid-Century (1940s) red and white painted metal 10 arm chandelier with Murano glass bird in center with canopy. (Attributed to BAGUES).,French Mid-Century (1940s) red and white painted metal 10 arm chandelier with Murano glass bird in center with canopy. (Attributed to BAGUES).,unchanged-same
product-059283,059283,dimensions,,,,both-empty
product-059283,059283,price,"$15,000","$15,000","$15,000",unchanged-same
product-059283,059283,material,,"Glass, metal, painted","Glass, metal, painted",filled-from-archive
product-059283,059283,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-059283,059283,period,,,,both-empty
product-059283,059283,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-jkg2384,JKG2384,title,Pair of Italian Mid-Century Venetian Murano Gold Dusted Glass Wall Sconces,Pair of Italian Mid-Century Venetian Murano Gold Dusted Glass Wall Sconces,Pair of Italian Mid-Century Venetian Murano Gold Dusted Glass Wall Sconces,unchanged-same
product-jkg2384,JKG2384,description,PAIR of Italian Mid-Century (1940s) Venetian Murano gold dusted glass wall sconces supported by a gilt bronze two-arm frame holding shades with a fluted bottom above cylindrical fluted finals. (PRICED AS PAIR).,PAIR of Italian Mid-Century (1940s) Venetian Murano gold dusted glass wall sconces supported by a gilt bronze two-arm frame holding shades with a fluted bottom above cylindrical fluted finals. (PRICED AS PAIR).,PAIR of Italian Mid-Century (1940s) Venetian Murano gold dusted glass wall sconces supported by a gilt bronze two-arm frame holding shades with a fluted bottom above cylindrical fluted finals. (PRICED AS PAIR).,unchanged-same
product-jkg2384,JKG2384,dimensions,,,,both-empty
product-jkg2384,JKG2384,price,"$7,850","$7,850","$7,850",unchanged-same
product-jkg2384,JKG2384,material,,"Bronze, glass, metal","Bronze, glass, metal",filled-from-archive
product-jkg2384,JKG2384,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-jkg2384,JKG2384,period,,,,both-empty
product-jkg2384,JKG2384,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-jkg2029,JKG2029,title,Italian Venetian Murano Smoked Glass Chandelier,Italian Venetian Murano Smoked Glass Chandelier,Italian Venetian Murano Smoked Glass Chandelier,unchanged-same
product-jkg2029,JKG2029,description,Italian Venetian Murano 12 fluted arm smoky glass chandelier with 12 up and  between the arms and emanating from a tiered base with a ball finial bottom..,Italian Venetian Murano 12 fluted arm smoky glass chandelier with 12 up and  between the arms and emanating from a tiered base with a ball finial bottom..,Italian Venetian Murano 12 fluted arm smoky glass chandelier with 12 up and  between the arms and emanating from a tiered base with a ball finial bottom..,unchanged-same
product-jkg2029,JKG2029,dimensions,,,,both-empty
product-jkg2029,JKG2029,price,"$32,000","$32,000","$32,000",unchanged-same
product-jkg2029,JKG2029,material,,Glass,Glass,filled-from-archive
product-jkg2029,JKG2029,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-jkg2029,JKG2029,period,,,,both-empty
product-jkg2029,JKG2029,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-grs6254,GRS6254,title,Pair of Outdoor Neo-Classical Natural Patina Iron Flute and Tambourine-Playing Putti Statues,Pair of Outdoor Neo-Classical Natural Patina Iron Flute and Tambourine-Playing Putti Statues,Pair of Outdoor Neo-Classical Natural Patina Iron Flute and Tambourine-Playing Putti Statues,unchanged-same
product-grs6254,GRS6254,description,"PAIR of Outdoor Neo-Classical iron statues of two life size putti figures, one with a tambourine, the other a flute hand having a natural green and brown patina resting on circular iron bases. (PRICED AS PAIR).","PAIR of Outdoor Neo-Classical iron statues of two life size putti figures, one with a tambourine, the other a flute hand having a natural green and brown patina resting on circular iron bases. (PRICED AS PAIR).","PAIR of Outdoor Neo-Classical iron statues of two life size putti figures, one with a tambourine, the other a flute hand having a natural green and brown patina resting on circular iron bases. (PRICED AS PAIR).",unchanged-same
product-grs6254,GRS6254,dimensions,,,,both-empty
product-grs6254,GRS6254,price,"$2,450","$2,450","$2,450",unchanged-same
product-grs6254,GRS6254,material,,"Iron, metal","Iron, metal",filled-from-archive
product-grs6254,GRS6254,style,Outdoor,Outdoor,Outdoor,unchanged-same
product-grs6254,GRS6254,period,,,,both-empty
product-grs6254,GRS6254,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl2204,NWL2204,title,Thai Gold and Red Wooden Bodhisattva Statues,Thai Gold and Red Wooden Bodhisattva Statues,Thai Gold and Red Wooden Bodhisattva Statues,unchanged-same
product-nwl2204,NWL2204,description,"4 Thai-style gold and red carved wooden Bodhisattva statues wearing and holding robes, and standing on plinths (PRICED EACH)..","4 Thai-style gold and red carved wooden Bodhisattva statues wearing and holding robes, and standing on plinths (PRICED EACH)..","4 Thai-style gold and red carved wooden Bodhisattva statues wearing and holding robes, and standing on plinths (PRICED EACH)..",unchanged-same
product-nwl2204,NWL2204,dimensions,,,,both-empty
product-nwl2204,NWL2204,price,"$6,500","$6,500","$6,500",unchanged-same
product-nwl2204,NWL2204,material,,"Carved, wood","Carved, wood",filled-from-archive
product-nwl2204,NWL2204,style,Asian,Asian,Asian,unchanged-same
product-nwl2204,NWL2204,period,,,,both-empty
product-nwl2204,NWL2204,availability,Available Qty: 4,Available Qty: 4,Available Qty: 4,unchanged-same
product-037318a,037318A,title,Pair of Italian Venetian Polychromed Figures,Pair of Italian Venetian Polychromed Figures,Pair of Italian Venetian Polychromed Figures,unchanged-same
product-037318a,037318A,description,PAIR of Italian Venetian style (Art Nouveau) life size polychromed  figures of women standing on round globes with green painted and decorated pedestal base.,PAIR of Italian Venetian style (Art Nouveau) life size polychromed  figures of women standing on round globes with green painted and decorated pedestal base.,PAIR of Italian Venetian style (Art Nouveau) life size polychromed  figures of women standing on round globes with green painted and decorated pedestal base.,unchanged-same
product-037318a,037318A,dimensions,,,,both-empty
product-037318a,037318A,price,"$95,000","$95,000","$95,000",unchanged-same
product-037318a,037318A,material,,,,both-empty
product-037318a,037318A,style,Italian,Italian,Italian,unchanged-same
product-037318a,037318A,period,,,,both-empty
product-037318a,037318A,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-062899,062899,title,Pair of Chinese Tang Dynasty Style Tessellated Bone Veneer Monumental Horse Statues,Pair of Chinese Tang Dynasty Style Tessellated Bone Veneer Monumental Horse Statues,Pair of Chinese Tang Dynasty Style Tessellated Bone Veneer Monumental Horse Statues,unchanged-same
product-062899,062899,description,"PAIR of Chinese Tang Dynasty-style monumental horse statues with tessellated bone veneer, carved saddles and manes, and hanging carved bone ornaments, mounted on dark red painted wooden bases with gold painted designs. (PRICED AS PAIR).","PAIR of Chinese Tang Dynasty-style monumental horse statues with tessellated bone veneer, carved saddles and manes, and hanging carved bone ornaments, mounted on dark red painted wooden bases with gold painted designs. (PRICED AS PAIR).","PAIR of Chinese Tang Dynasty-style monumental horse statues with tessellated bone veneer, carved saddles and manes, and hanging carved bone ornaments, mounted on dark red painted wooden bases with gold painted designs. (PRICED AS PAIR).",unchanged-same
product-062899,062899,dimensions,,,,both-empty
product-062899,062899,price,"$16,000","$16,000","$16,000",unchanged-same
product-062899,062899,material,,"Bone, wood","Bone, wood",filled-from-archive
product-062899,062899,style,Asian,Asian,Asian,unchanged-same
product-062899,062899,period,,,,both-empty
product-062899,062899,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-040451b,040451B,title,Pair of Art Nouveau Wooden Dancing Figures,Pair of Art Nouveau Wooden Dancing Figures,Pair of Art Nouveau Wooden Dancing Figures,unchanged-same
product-040451b,040451B,description,PAIR of Art Nouveau life size carved wood figures of dancing women with original paint colors (signed G. VAN DER MERSCH on base).,PAIR of Art Nouveau life size carved wood figures of dancing women with original paint colors (signed G. VAN DER MERSCH on base).,PAIR of Art Nouveau life size carved wood figures of dancing women with original paint colors (signed G. VAN DER MERSCH on base).,unchanged-same
product-040451b,040451B,dimensions,,,,both-empty
product-040451b,040451B,price,"$120,000","$120,000","$120,000",unchanged-same
product-040451b,040451B,material,,"Carved, painted, wood","Carved, painted, wood",filled-from-archive
product-040451b,040451B,style,Art Nouveau,Art Nouveau,Art Nouveau,unchanged-same
product-040451b,040451B,period,,,,both-empty
product-040451b,040451B,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-062853,062853,title,Set of 4 American Rustic Old Hickory and Willow Bar Stools,Set of 4 American Rustic Old Hickory and Willow Bar Stools,Set of 4 American Rustic Old Hickory and Willow Bar Stools,unchanged-same
product-062853,062853,description,"SET of 4 American Rustic Old Hickory (1930-40s) high back bar stools with a woven saddle seat and back with a 3 tier box stretcher (INDIANA WILLOW PRODUCTS label) (PRICED AS A SET)

(Stamped: INDIANA WILLOW PRODUCTS CO., INC., MARTINSVILLE, INDIANA).","SET of 4 American Rustic Old Hickory (1930-40s) high back bar stools with a woven saddle seat and back with a 3 tier box stretcher (INDIANA WILLOW PRODUCTS label) (PRICED AS A SET)

(Stamped: INDIANA WILLOW PRODUCTS CO., INC., MARTINSVILLE, INDIANA).","SET of 4 American Rustic Old Hickory (1930-40s) high back bar stools with a woven saddle seat and back with a 3 tier box stretcher (INDIANA WILLOW PRODUCTS label) (PRICED AS A SET)

(Stamped: INDIANA WILLOW PRODUCTS CO., INC., MARTINSVILLE, INDIANA).",unchanged-same
product-062853,062853,dimensions,,,,both-empty
product-062853,062853,price,"$4,800","$4,800","$4,800",unchanged-same
